+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: KEN2                                       Thu Apr 16 19:10:06 2020|
|-----------------------------------------------------------------------------|
|          north: 10674432.43287579    east:  977778.28195199                 |
|REGION    south:  9386262.60103682    west: -169427.68004663                 |
|          res:        499.87187887    res:      499.87187887                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__ken_go_facs in KEN2)                           |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|    #|description                                          |kilometers| cover|
|-----------------------------------------------------------------------------|
|    0| . . . . . . . . . . . . . . . . . . . . . . . . . . |        24|  0.00|
|    1| . . . . . . . . . . . . . . . . . . . . . . . . . . |        40|  0.00|
|    2| . . . . . . . . . . . . . . . . . . . . . . . . . . |        53|  0.00|
|    3| . . . . . . . . . . . . . . . . . . . . . . . . . . |        64|  0.00|
|    4| . . . . . . . . . . . . . . . . . . . . . . . . . . |        80|  0.01|
|    5| . . . . . . . . . . . . . . . . . . . . . . . . . . |       102|  0.01|
|    6| . . . . . . . . . . . . . . . . . . . . . . . . . . |       124|  0.01|
|    7| . . . . . . . . . . . . . . . . . . . . . . . . . . |       137|  0.01|
|    8| . . . . . . . . . . . . . . . . . . . . . . . . . . |       151|  0.01|
|    9| . . . . . . . . . . . . . . . . . . . . . . . . . . |       168|  0.01|
|   10| . . . . . . . . . . . . . . . . . . . . . . . . . . |       188|  0.01|
|   11| . . . . . . . . . . . . . . . . . . . . . . . . . . |       213|  0.01|
|   12| . . . . . . . . . . . . . . . . . . . . . . . . . . |       234|  0.02|
|   13| . . . . . . . . . . . . . . . . . . . . . . . . . . |       250|  0.02|
|   14| . . . . . . . . . . . . . . . . . . . . . . . . . . |       268|  0.02|
|   15| . . . . . . . . . . . . . . . . . . . . . . . . . . |       304|  0.02|
|   16| . . . . . . . . . . . . . . . . . . . . . . . . . . |       331|  0.02|
|   17| . . . . . . . . . . . . . . . . . . . . . . . . . . |       340|  0.02|
|   18| . . . . . . . . . . . . . . . . . . . . . . . . . . |       362|  0.02|
|   19| . . . . . . . . . . . . . . . . . . . . . . . . . . |       401|  0.03|
|   20| . . . . . . . . . . . . . . . . . . . . . . . . . . |       426|  0.03|
|   21| . . . . . . . . . . . . . . . . . . . . . . . . . . |       456|  0.03|
|   22| . . . . . . . . . . . . . . . . . . . . . . . . . . |       475|  0.03|
|   23| . . . . . . . . . . . . . . . . . . . . . . . . . . |       482|  0.03|
|   24| . . . . . . . . . . . . . . . . . . . . . . . . . . |       519|  0.04|
|   25| . . . . . . . . . . . . . . . . . . . . . . . . . . |       533|  0.04|
|   26| . . . . . . . . . . . . . . . . . . . . . . . . . . |       571|  0.04|
