+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: MAL1                                       Wed Jun 10 22:11:26 2020|
|-----------------------------------------------------------------------------|
|          north: 8998072.01423559    east: 887355.39069059                   |
|REGION    south: 8072639.36201714    west: 432826.53844818                   |
|          res:       496.21053738    res:     496.21053738                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__mwi_go_v2 in MAL1)                             |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
|   0| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1.48|  0.00|
|   1| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2.46|  0.00|
|   2| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2.95|  0.00|
|   3| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      4.19|  0.00|
|   4| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      6.16|  0.00|
|   5| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      6.40|  0.00|
|   6| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      7.14|  0.00|
|   7| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      6.40|  0.00|
|   8| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      8.86|  0.00|
|   9| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      9.36|  0.00|
|  10| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      6.40|  0.00|
|  11| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      9.36|  0.00|
|  12| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     11.82|  0.00|
|  13| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     12.31|  0.00|
|  14| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     14.03|  0.00|
|  15| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     11.08|  0.00|
|  16| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     14.53|  0.00|
|  17| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     11.82|  0.00|
|  18| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     13.79|  0.00|
|  19| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     15.27|  0.00|
|  20| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     16.99|  0.00|
|  21| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     18.47|  0.00|
|  22| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     14.77|  0.00|
|  23| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     16.25|  0.00|
|  24| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     17.48|  0.00|
