+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: MAL1                                       Thu Apr 16 19:16:46 2020|
|-----------------------------------------------------------------------------|
|          north: 8998072.01423559    east: 887355.39069059                   |
|REGION    south: 8072639.36201714    west: 432826.53844818                   |
|          res:       496.21053738    res:     496.21053738                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__mwi_go in MAL1)                                |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
|   0| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2.22|  0.00|
|   1| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2.71|  0.00|
|   2| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2.95|  0.00|
|   3| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      4.92|  0.00|
|   4| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      6.16|  0.00|
|   5| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      8.86|  0.00|
|   6| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      7.63|  0.00|
|   7| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      8.13|  0.00|
|   8| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     10.10|  0.00|
|   9| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     11.08|  0.00|
|  10| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      8.37|  0.00|
|  11| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     12.80|  0.00|
|  12| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     14.77|  0.00|
|  13| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     15.02|  0.00|
|  14| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     19.70|  0.00|
|  15| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     14.77|  0.00|
|  16| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     19.21|  0.00|
|  17| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     15.76|  0.00|
|  18| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     19.70|  0.00|
|  19| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     18.96|  0.00|
|  20| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     22.41|  0.01|
|  21| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     22.41|  0.01|
|  22| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     18.71|  0.00|
|  23| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     20.93|  0.00|
|  24| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     23.64|  0.01|
