+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: RWA1                                       Thu Apr 16 19:21:55 2020|
|-----------------------------------------------------------------------------|
|          north: 9884191.10285493    east: 267001.55683388                   |
|REGION    south: 9685318.51287095    west:  39147.53413866                   |
|          res:       499.67987433    res:     499.67987433                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__rwa_go in RWA1)                                |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|  #|description                                            |kilometers| cover|
|-----------------------------------------------------------------------------|
|  0| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.743|  0.01|
|  1| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    14.481|  0.03|
|  2| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    20.474|  0.05|
|  3| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    21.972|  0.05|
|  4| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    29.462|  0.07|
|  5| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    34.955|  0.08|
|  6| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    35.704|  0.08|
|  7| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    40.698|  0.09|
|  8| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    44.443|  0.10|
|  9| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    42.945|  0.09|
| 10| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    52.433|  0.12|
| 11| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    54.430|  0.12|
| 12| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    54.181|  0.12|
| 13| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    59.674|  0.13|
| 14| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    58.675|  0.13|
| 15| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    63.668|  0.14|
| 16| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    65.666|  0.14|
| 17| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    71.408|  0.16|
| 18| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    72.657|  0.16|
| 19| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    70.160|  0.15|
| 20| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    76.652|  0.17|
| 21| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    78.400|  0.17|
| 22| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    90.384|  0.20|
| 23| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    96.376|  0.21|
| 24| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    90.634|  0.20|
