+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: RWA1                                       Thu Jun 11 07:23:33 2020|
|-----------------------------------------------------------------------------|
|          north: 9884191.10285493    east: 267001.55683388                   |
|REGION    south: 9685318.51287095    west:  39147.53413866                   |
|          res:       499.67987433    res:     499.67987433                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__rwa_go_facs_v2 in RWA1)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|  #|description                                            |kilometers| cover|
|-----------------------------------------------------------------------------|
|  0| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.994|  0.01|
|  1| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    11.985|  0.03|
|  2| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    13.233|  0.03|
|  3| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    17.727|  0.04|
|  4| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    24.469|  0.05|
|  5| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    34.706|  0.08|
|  6| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    36.703|  0.08|
|  7| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    40.198|  0.09|
|  8| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    40.698|  0.09|
|  9| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    40.948|  0.09|
| 10| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    51.434|  0.11|
| 11| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    55.429|  0.12|
| 12| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    53.681|  0.12|
| 13| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    59.174|  0.13|
| 14| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    57.426|  0.13|
| 15| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    64.917|  0.14|
| 16| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    64.168|  0.14|
| 17| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    67.663|  0.15|
| 18| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    71.658|  0.16|
| 19| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    69.910|  0.15|
| 20| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    74.654|  0.16|
| 21| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    76.901|  0.17|
| 22| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    88.137|  0.19|
| 23| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    96.626|  0.21|
| 24| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    89.635|  0.20|
