+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: TZA_PROJ                                   Mon Aug 31 23:15:17 2020|
|-----------------------------------------------------------------------------|
|          north: 10173518.20129205    east: 1736562.50629387                 |
|REGION    south:  8571589.79796037    west:  -140368.6154334                 |
|          res:        500.91569835    res:      500.91569835                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__gotravtime in TZA_PROJ)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
|   0| . . . . . . . . . . . . . . . . . . . . . . . . . . .|         8|  0.00|
|   1| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        23|  0.00|
|   2| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        35|  0.00|
|   3| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        49|  0.00|
|   4| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        51|  0.00|
|   5| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        60|  0.00|
|   6| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        60|  0.00|
|   7| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        62|  0.00|
|   8| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        60|  0.00|
|   9| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        71|  0.00|
|  10| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        72|  0.00|
|  11| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        87|  0.00|
|  12| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        83|  0.00|
|  13| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        88|  0.00|
|  14| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        99|  0.00|
|  15| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       102|  0.00|
|  16| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       108|  0.00|
|  17| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       113|  0.00|
|  18| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       120|  0.00|
|  19| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       133|  0.00|
|  20| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       129|  0.00|
|  21| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       156|  0.01|
|  22| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       151|  0.01|
|  23| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       160|  0.01|
|  24| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       183|  0.01|
|  25| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       172|  0.01|
