+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: TZA_PROJ                                   Mon Aug 31 23:15:22 2020|
|-----------------------------------------------------------------------------|
|          north: 10173518.20129205    east: 1736562.50629387                 |
|REGION    south:  8571589.79796037    west:  -140368.6154334                 |
|          res:        500.91569835    res:      500.91569835                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__t1travtime in TZA_PROJ)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
|   0| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2214|  0.07|
|   1| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1742|  0.06|
|   2| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2160|  0.07|
|   3| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      3977|  0.13|
|   4| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      5563|  0.19|
|   5| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      5821|  0.19|
|   6| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      5699|  0.19|
|   7| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      5917|  0.20|
|   8| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      5159|  0.17|
|   9| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      6053|  0.20|
|  10| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      6749|  0.22|
|  11| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      7086|  0.24|
|  12| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      7920|  0.26|
|  13| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      7000|  0.23|
|  14| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      7679|  0.26|
|  15| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      7316|  0.24|
|  16| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      7426|  0.25|
|  17| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      8103|  0.27|
|  18| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      7672|  0.26|
|  19| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      8668|  0.29|
|  20| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      8074|  0.27|
|  21| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      8182|  0.27|
|  22| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      8225|  0.27|
|  23| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      7752|  0.26|
|  24| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      8369|  0.28|
