+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: UPDATE_T4                                  Thu Apr 16 19:10:51 2020|
|-----------------------------------------------------------------------------|
|          north: 9903473.48523095    east: 1338069.53726927                  |
|REGION    south: 8684078.08687044    west:   74062.11213946                  |
|          res:       929.41722436    res:      929.41722436                  |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__tz_go_merge in UPDATE_T4)                      |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
|   0| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        34|  0.00|
|   1| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        41|  0.00|
|   2| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        65|  0.00|
|   3| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        61|  0.00|
|   4| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        61|  0.00|
|   5| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        73|  0.00|
|   6| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        83|  0.01|
|   7| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        83|  0.01|
|   8| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        88|  0.01|
|   9| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       108|  0.01|
|  10| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       121|  0.01|
|  11| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       125|  0.01|
|  12| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       116|  0.01|
|  13| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       134|  0.01|
|  14| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       127|  0.01|
|  15| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       136|  0.01|
|  16| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       156|  0.01|
|  17| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       150|  0.01|
|  18| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       180|  0.01|
|  19| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       208|  0.01|
|  20| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       219|  0.01|
|  21| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       202|  0.01|
|  22| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       250|  0.02|
|  23| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       201|  0.01|
|  24| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       229|  0.01|
|  25| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       233|  0.02|
