+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: UPDATE_T4                                  Wed Jun 10 22:29:57 2020|
|-----------------------------------------------------------------------------|
|          north: 9903473.48523095    east: 1338069.53726927                  |
|REGION    south: 8684078.08687044    west:   74062.11213946                  |
|          res:       929.41722436    res:      929.41722436                  |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__tz_go_v2 in UPDATE_T4)                         |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
|   0| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        36|  0.00|
|   1| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        48|  0.00|
|   2| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        67|  0.00|
|   3| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        68|  0.00|
|   4| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        70|  0.00|
|   5| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        84|  0.01|
|   6| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        91|  0.01|
|   7| . . . . . . . . . . . . . . . . . . . . . . . . . . .|        97|  0.01|
|   8| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       105|  0.01|
|   9| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       123|  0.01|
|  10| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       136|  0.01|
|  11| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       146|  0.01|
|  12| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       136|  0.01|
|  13| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       152|  0.01|
|  14| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       155|  0.01|
|  15| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       161|  0.01|
|  16| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       171|  0.01|
|  17| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       168|  0.01|
|  18| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       191|  0.01|
|  19| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       227|  0.01|
|  20| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       241|  0.02|
|  21| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       219|  0.01|
|  22| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       262|  0.02|
|  23| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       235|  0.02|
|  24| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       250|  0.02|
|  25| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       252|  0.02|
